text,label,predicted_category
footwearhelmethuman faceperson,weapons,nonmilitary
human facejacketmantrousers,weapons,nonmilitary
human facejacketmantrousers,weapons,nonmilitary
jacketmantrousers,weapons,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary
footwearhelmethuman facemanperson,weapons,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary
cartruckwheel,nonmilitary,ground_vehicles
cartruckwheel,nonmilitary,ground_vehicles
cartruckwheel,nonmilitary,ground_vehicles
cartruckwheel,nonmilitary,ground_vehicles
cartruckwheel,nonmilitary,ground_vehicles
cartruckwheel,nonmilitary,ground_vehicles
cartruckwheel,nonmilitary,ground_vehicles
cartruckwheel,nonmilitary,ground_vehicles
cartruckwheel,nonmilitary,ground_vehicles
car tiretruckwheel,nonmilitary,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles
footwearpersonweapon,weapons,nonmilitary
paddle,maritime,nonmilitary
paddle,maritime,nonmilitary
carmantruckwheel,nonmilitary,ground_vehicles
carmantruckwheel,nonmilitary,ground_vehicles
carland vehiclemantruckwheel,nonmilitary,ground_vehicles
airplanedogfootwearhuman facemanwoman,nonmilitary,aircraft
weapon,weapons,nonmilitary
airplanefootwearperson,nonmilitary,aircraft
airplanefootwearperson,nonmilitary,aircraft
airplanefootwearperson,nonmilitary,aircraft
airplanefootwearperson,nonmilitary,aircraft
airplanefootwearperson,nonmilitary,aircraft
airplanefootwearhuman faceperson,nonmilitary,aircraft
airplanefootwearperson,nonmilitary,aircraft
bottleglovehelmethuman faceman,weapons,nonmilitary
carcar tiretruckwheel,nonmilitary,ground_vehicles
carcar tiretruckwheel,nonmilitary,ground_vehicles
carcar tiretruckwheel,nonmilitary,ground_vehicles
carcar tireland vehicletruckwheel,nonmilitary,ground_vehicles
carcar tireland vehicletruckwheel,nonmilitary,ground_vehicles
handgun,nonmilitary,weapons
human handweapon,weapons,nonmilitary
boatperson,nonmilitary,maritime
hathuman facemantruckwheel,nonmilitary,ground_vehicles
human facemantruckwheel,nonmilitary,ground_vehicles
mantruckwheel,nonmilitary,ground_vehicles
cartruckvehicle registration platewheel,nonmilitary,ground_vehicles
boathelicopter,nonmilitary,maritime
truckwheel,nonmilitary,ground_vehicles
truckwheel,nonmilitary,ground_vehicles
truckwheel,nonmilitary,ground_vehicles
truckwheel,nonmilitary,ground_vehicles
truckwheel,nonmilitary,ground_vehicles
truckwheel,nonmilitary,ground_vehicles
truckwheel,nonmilitary,ground_vehicles
truckwheel,nonmilitary,ground_vehicles
car tiretruckwheel,nonmilitary,ground_vehicles
car tiretruckwheel,nonmilitary,ground_vehicles
truckwheel,nonmilitary,ground_vehicles
truckwheel,nonmilitary,ground_vehicles
truckwheel,nonmilitary,ground_vehicles
truckvehicle registration platewheel,nonmilitary,ground_vehicles
truckvehicle registration platewheel,nonmilitary,ground_vehicles
truckwheel,nonmilitary,ground_vehicles
truckwheel,nonmilitary,ground_vehicles
airplanetelevision,nonmilitary,aircraft
personweapon,weapons,nonmilitary
personweapon,weapons,nonmilitary
car tiretruck,nonmilitary,ground_vehicles
carcar tiremotorcyclepersontruckwheel,nonmilitary,ground_vehicles
carmotorcyclepersontruckwheel,nonmilitary,ground_vehicles
