text,label,predicted_category,auto_corrected,user_category
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
footwearhelmethuman faceperson,weapons,nonmilitary,,nonmilitary
