text,label,predicted_category,auto_corrected
footwearhelmethuman faceperson,weapons,nonmilitary,
human facejacketmantrousers,weapons,nonmilitary,
human facejacketmantrousers,weapons,nonmilitary,
jacketmantrousers,weapons,nonmilitary,
footwearhelmethuman faceperson,weapons,nonmilitary,
footwearhelmethuman facemanperson,weapons,nonmilitary,
footwearhelmethuman faceperson,weapons,nonmilitary,
footwearhelmethuman faceperson,weapons,nonmilitary,
footwearhelmethuman faceperson,weapons,nonmilitary,
cartruckwheel,nonmilitary,ground_vehicles,ground_vehicles
cartruckwheel,nonmilitary,ground_vehicles,ground_vehicles
cartruckwheel,nonmilitary,ground_vehicles,ground_vehicles
cartruckwheel,nonmilitary,ground_vehicles,ground_vehicles
cartruckwheel,nonmilitary,ground_vehicles,ground_vehicles
cartruckwheel,nonmilitary,ground_vehicles,ground_vehicles
cartruckwheel,nonmilitary,ground_vehicles,ground_vehicles
cartruckwheel,nonmilitary,ground_vehicles,ground_vehicles
cartruckwheel,nonmilitary,ground_vehicles,ground_vehicles
car tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
car tiretruck,nonmilitary,ground_vehicles,ground_vehicles
footwearpersonweapon,weapons,nonmilitary,
paddle,maritime,nonmilitary,
paddle,maritime,nonmilitary,
carmantruckwheel,nonmilitary,ground_vehicles,ground_vehicles
carmantruckwheel,nonmilitary,ground_vehicles,ground_vehicles
weapon,weapons,nonmilitary,
airplanefootwearperson,nonmilitary,aircraft,aircraft
airplanefootwearperson,nonmilitary,aircraft,aircraft
airplanefootwearperson,nonmilitary,aircraft,aircraft
airplanefootwearperson,nonmilitary,aircraft,aircraft
airplanefootwearperson,nonmilitary,aircraft,aircraft
airplanefootwearperson,nonmilitary,aircraft,aircraft
carcar tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
carcar tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
carcar tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
carcar tireland vehicletruckwheel,nonmilitary,ground_vehicles,ground_vehicles
carcar tireland vehicletruckwheel,nonmilitary,ground_vehicles,ground_vehicles
handgun,nonmilitary,weapons,weapons
human handweapon,weapons,nonmilitary,
boatperson,nonmilitary,maritime,maritime
hathuman facemantruckwheel,nonmilitary,ground_vehicles,ground_vehicles
human facemantruckwheel,nonmilitary,ground_vehicles,ground_vehicles
mantruckwheel,nonmilitary,ground_vehicles,ground_vehicles
cartruckvehicle registration platewheel,nonmilitary,ground_vehicles,ground_vehicles
boathelicopter,nonmilitary,maritime,maritime
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
car tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
car tiretruckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
truckwheel,nonmilitary,ground_vehicles,ground_vehicles
